timestamp,experiment,dataset,model,accuracy
20260116_091246,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_093701,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_093720,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_093739,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_093758,resnet18,clean_test_clean,resnet18,5.37037037037037
20260116_095723,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_095742,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_095802,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_095821,resnet18,clean_test_clean,resnet18,5.37037037037037
20260116_100636,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_100655,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_100714,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_100734,resnet18,clean_test_clean,resnet18,5.37037037037037
20260116_101054,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_101114,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_101134,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_101152,resnet18,clean_test_clean,resnet18,5.37037037037037
20260116_101924,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_101943,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_102002,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_102021,resnet18,clean_test_clean,resnet18,5.37037037037037
20260116_102848,resnet18,adversarial_test_nonrobust_fgsm,resnet18,10.444444444444445
20260116_102908,resnet18,clean_test_clean,resnet18,9.444444444444445
20260116_102928,resnet18,adversarial_test_random_noise,resnet18,11.0
20260116_102948,resnet18,clean_test_clean,resnet18,5.37037037037037
