=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 99.64%
Final Validation Accuracy: 98.09%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     1.2226 |   0.9438 |     56.34 |   64.60
    2 |     0.8091 |   0.5906 |     71.34 |   79.31
    3 |     0.6351 |   0.5033 |     78.04 |   82.98
    4 |     0.5058 |   0.4516 |     82.51 |   84.18
    5 |     0.4252 |   0.3400 |     85.67 |   88.30
    6 |     0.3779 |   0.2639 |     87.18 |   90.85
    7 |     0.3357 |   1.8560 |     88.70 |   68.84
    8 |     0.3009 |   0.2803 |     90.01 |   90.43
    9 |     0.2753 |   0.2662 |     90.52 |   90.68
   10 |     0.2412 |   0.1997 |     91.55 |   92.96
   11 |     0.2169 |   0.2129 |     92.67 |   92.55
   12 |     0.2096 |   0.1878 |     92.94 |   93.52
   13 |     0.1907 |   0.1378 |     93.35 |   95.11
   14 |     0.1796 |   0.2378 |     93.74 |   92.22
   15 |     0.1588 |   0.2347 |     94.48 |   92.01
   16 |     0.1529 |   0.2424 |     94.56 |   92.36
   17 |     0.1615 |   0.1145 |     94.31 |   95.73
   18 |     0.1394 |   0.1122 |     95.01 |   95.97
   19 |     0.1401 |   0.1111 |     95.08 |   96.06
   20 |     0.1258 |   0.0983 |     95.58 |   96.76
   21 |     0.1209 |   0.1021 |     95.95 |   96.51
   22 |     0.1164 |   0.1772 |     95.83 |   94.55
   23 |     0.1229 |   0.1241 |     95.59 |   95.59
   24 |     0.1137 |   0.0869 |     95.95 |   97.21
   25 |     0.1083 |   0.1600 |     96.06 |   94.48
   26 |     0.0997 |   0.0917 |     96.52 |   96.74
   27 |     0.0908 |   0.1307 |     96.82 |   95.62
   28 |     0.0908 |   0.2201 |     96.84 |   93.83
   29 |     0.0601 |   0.0702 |     97.90 |   97.44
   30 |     0.0516 |   0.0848 |     98.13 |   97.08
   31 |     0.0547 |   0.0727 |     98.14 |   97.69
   32 |     0.0448 |   0.0748 |     98.40 |   97.56
   33 |     0.0478 |   0.0690 |     98.33 |   97.81
   34 |     0.0484 |   0.0760 |     98.33 |   97.58
   35 |     0.0463 |   0.0619 |     98.42 |   97.85
   36 |     0.0459 |   0.0843 |     98.41 |   96.68
   37 |     0.0424 |   0.0848 |     98.55 |   97.18
   38 |     0.0384 |   0.0837 |     98.70 |   97.47
   39 |     0.0442 |   0.0643 |     98.47 |   97.70
   40 |     0.0259 |   0.0516 |     99.12 |   98.18
   41 |     0.0265 |   0.0554 |     99.01 |   98.12
   42 |     0.0226 |   0.0534 |     99.24 |   98.26
   43 |     0.0209 |   0.0632 |     99.31 |   97.98
   44 |     0.0229 |   0.0693 |     99.23 |   97.85
   45 |     0.0195 |   0.0649 |     99.37 |   97.85
   46 |     0.0225 |   0.0736 |     99.20 |   98.02
   47 |     0.0155 |   0.0651 |     99.47 |   97.93
   48 |     0.0138 |   0.0631 |     99.54 |   98.04
   49 |     0.0118 |   0.0602 |     99.58 |   98.24
   50 |     0.0115 |   0.0622 |     99.64 |   98.09
