=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 67.12%
Final Validation Accuracy: 18.26%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     1.8734 |  93.6347 |     24.72 |   11.73
    2 |     1.6098 |  37.8850 |     35.90 |   15.97
    3 |     1.4783 |  35.6116 |     40.16 |   20.83
    4 |     1.3995 |  18.7316 |     43.66 |   24.18
    5 |     1.3342 |  29.7141 |     46.89 |   22.90
    6 |     1.2583 |  21.2268 |     49.81 |   15.86
    7 |     1.2407 |  41.5074 |     49.87 |   21.23
    8 |     1.2163 |  13.2320 |     51.54 |   18.35
    9 |     1.1152 |  15.7909 |     55.09 |   24.15
   10 |     1.0834 |  12.0696 |     56.60 |   23.75
   11 |     1.0800 |  12.7205 |     56.65 |   24.61
   12 |     1.0523 |  10.6963 |     57.78 |   21.59
   13 |     1.0392 |  10.4205 |     58.27 |   23.98
   14 |     1.0171 |  62.1168 |     58.86 |   22.18
   15 |     1.0072 |  21.7705 |     59.44 |   22.84
   16 |     0.9627 |  23.6164 |     61.06 |   22.44
   17 |     0.9491 |  19.7336 |     61.71 |   24.35
   18 |     0.9380 |  15.8914 |     62.13 |   24.21
   19 |     0.9308 |  15.6445 |     62.45 |   25.74
   20 |     0.9247 |  12.9630 |     62.96 |   25.05
   21 |     0.9190 |  22.0771 |     62.94 |   22.07
   22 |     0.9057 |  10.0364 |     63.27 |   20.15
   23 |     0.9015 |  31.5597 |     63.54 |   24.07
   24 |     0.8685 |  20.0781 |     64.56 |   22.42
   25 |     0.8609 |  16.1602 |     64.83 |   18.83
   26 |     0.8576 |  23.1985 |     64.85 |   20.59
   27 |     0.8536 |  18.9781 |     64.89 |   23.56
   28 |     0.8326 |  23.3179 |     65.67 |   21.53
   29 |     0.8312 |  15.9011 |     65.91 |   19.09
   30 |     0.8285 |  14.6915 |     65.92 |   20.62
   31 |     0.8208 |  13.4318 |     66.41 |   17.78
   32 |     0.8113 |  14.3730 |     66.61 |   18.19
   33 |     0.8096 |  13.6599 |     66.75 |   18.61
   34 |     0.8078 |  14.3821 |     66.57 |   17.89
   35 |     0.8056 |  13.9448 |     66.74 |   18.24
   36 |     0.7996 |  14.7685 |     66.97 |   18.02
   37 |     0.7946 |  15.1109 |     67.15 |   18.49
   38 |     0.7960 |  15.1463 |     67.22 |   17.87
   39 |     0.7946 |  16.0601 |     67.12 |   18.26
