=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 30.32%
Final Validation Accuracy: 22.59%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     2.3607 |   2.3350 |     10.40 |   11.36
    2 |     2.3267 |   2.3934 |     10.80 |   11.54
    3 |     2.3180 |   2.3213 |     11.00 |   11.53
    4 |     2.3132 |   2.3857 |     11.51 |   10.05
    5 |     2.3058 |   2.5063 |     11.26 |   10.88
    6 |     2.3068 |   2.3670 |     11.36 |   10.34
    7 |     2.3001 |   2.3001 |     11.72 |   11.82
    8 |     2.2947 |   2.2935 |     11.97 |   10.88
    9 |     2.2847 |   2.2846 |     12.49 |   13.15
   10 |     2.2699 |   2.2771 |     13.55 |   12.56
   11 |     2.2610 |   2.3001 |     13.37 |   12.99
   12 |     2.2492 |   2.2684 |     14.46 |   13.53
   13 |     2.2380 |   2.2418 |     15.42 |   16.40
   14 |     2.2255 |   2.2726 |     16.03 |   15.28
   15 |     2.2155 |   2.2758 |     16.32 |   16.53
   16 |     2.2082 |   2.2282 |     16.55 |   16.34
   17 |     2.1913 |   2.4061 |     17.85 |   15.54
   18 |     2.1747 |   2.2178 |     18.33 |   17.42
   19 |     2.1584 |   2.1673 |     19.34 |   20.22
   20 |     2.1414 |   2.1490 |     19.76 |   20.12
   21 |     2.1091 |   2.1329 |     21.35 |   20.39
   22 |     2.0884 |   2.1535 |     22.32 |   19.60
   23 |     2.0711 |   2.0990 |     22.98 |   22.01
   24 |     2.0492 |   2.1554 |     24.05 |   21.47
   25 |     2.0311 |   2.2590 |     24.65 |   22.18
   26 |     2.0024 |   2.0620 |     25.30 |   23.06
   27 |     1.9714 |   2.1357 |     26.88 |   24.00
   28 |     1.9446 |   2.0966 |     28.31 |   24.68
   29 |     1.9202 |   2.0068 |     28.70 |   26.48
   30 |     1.8952 |   2.1517 |     30.32 |   22.59
