=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 99.95%
Final Validation Accuracy: 99.86%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     0.5351 |   0.9293 |     81.44 |   75.60
    2 |     0.0742 |   0.0341 |     97.67 |   98.83
    3 |     0.0531 |   1.2667 |     98.31 |   72.24
    4 |     0.0445 |   1.5527 |     98.55 |   73.33
    5 |     0.0266 |   0.9825 |     99.15 |   78.89
    6 |     0.0366 |   0.0203 |     98.84 |   99.40
    7 |     0.0265 |   0.0196 |     99.21 |   99.41
    8 |     0.0270 |   0.0243 |     99.18 |   99.15
    9 |     0.0314 |   0.0631 |     98.91 |   97.84
   10 |     0.0179 |   0.0327 |     99.40 |   98.84
   11 |     0.0244 |   0.0124 |     99.24 |   99.60
   12 |     0.0144 |   0.0568 |     99.60 |   97.96
   13 |     0.0201 |   0.0109 |     99.37 |   99.61
   14 |     0.0200 |   0.0198 |     99.35 |   99.29
   15 |     0.0120 |   0.0203 |     99.56 |   99.31
   16 |     0.0151 |   0.0133 |     99.46 |   99.48
   17 |     0.0198 |   0.0542 |     99.38 |   98.29
   18 |     0.0065 |   0.0034 |     99.81 |   99.91
   19 |     0.0071 |   0.0038 |     99.78 |   99.86
   20 |     0.0030 |   0.0051 |     99.91 |   99.85
   21 |     0.0040 |   0.0034 |     99.86 |   99.91
   22 |     0.0041 |   0.0053 |     99.85 |   99.85
   23 |     0.0028 |   0.0035 |     99.93 |   99.85
   24 |     0.0024 |   0.0033 |     99.95 |   99.83
   25 |     0.0039 |   0.0032 |     99.91 |   99.89
   26 |     0.0016 |   0.0021 |     99.97 |   99.92
   27 |     0.0017 |   0.0041 |     99.95 |   99.88
   28 |     0.0043 |   0.0075 |     99.87 |   99.80
   29 |     0.0017 |   0.0037 |     99.95 |   99.86
   30 |     0.0016 |   0.0061 |     99.95 |   99.86
