=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 12.33%
Final Validation Accuracy: 12.48%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     2.3663 |   2.3783 |     10.61 |   10.22
    2 |     2.3304 |   2.3189 |     10.36 |   11.25
    3 |     2.3240 |   2.3816 |     10.61 |   10.00
    4 |     2.3173 |   2.4052 |     10.73 |    9.95
    5 |     2.3055 |   2.3323 |     11.07 |   11.10
    6 |     2.3001 |   2.3066 |     11.15 |   10.88
    7 |     2.2955 |   2.3042 |     11.26 |   11.37
    8 |     2.2949 |   2.3024 |     11.33 |    9.72
    9 |     2.2960 |   2.2989 |     10.74 |   11.08
   10 |     2.2938 |   2.3169 |     11.40 |    9.94
   11 |     2.2929 |   2.3034 |     11.26 |   10.76
   12 |     2.2893 |   2.2923 |     11.58 |   11.34
   13 |     2.2883 |   2.2958 |     11.42 |   11.37
   14 |     2.2863 |   2.3144 |     11.22 |    9.81
   15 |     2.2860 |   2.2952 |     11.37 |   11.99
   16 |     2.2839 |   2.2989 |     11.60 |   11.50
   17 |     2.2839 |   2.3117 |     11.41 |   10.08
   18 |     2.2831 |   2.3323 |     11.49 |   10.23
   19 |     2.2831 |   2.2847 |     11.45 |   11.59
   20 |     2.2789 |   2.2843 |     11.67 |   12.15
   21 |     2.2773 |   2.2845 |     11.91 |   11.84
   22 |     2.2759 |   2.2900 |     11.65 |   11.84
   23 |     2.2744 |   2.2833 |     11.81 |   11.71
   24 |     2.2745 |   2.2939 |     11.92 |   11.05
   25 |     2.2714 |   2.2861 |     12.20 |   12.05
   26 |     2.2708 |   2.2830 |     12.20 |   11.76
   27 |     2.2704 |   2.2830 |     12.28 |   12.02
   28 |     2.2702 |   2.2831 |     12.27 |   11.96
   29 |     2.2708 |   2.2829 |     12.06 |   12.21
   30 |     2.2686 |   2.2830 |     12.33 |   12.48
