=== resnet18 Training Report ===

Model: resnet18
Final Training Accuracy: 99.55%
Final Validation Accuracy: 97.52%
Training History:
Epoch | Train Loss | Val Loss | Train Acc | Val Acc
------------------------------------------------------------
    1 |     1.1586 |   0.8792 |     59.76 |   69.74
    2 |     0.8106 |   0.6420 |     71.36 |   76.37
    3 |     0.6688 |   0.5362 |     76.67 |   81.57
    4 |     0.5768 |   0.6550 |     79.96 |   77.79
    5 |     0.4964 |   0.4788 |     82.90 |   82.84
    6 |     0.4289 |   0.3350 |     85.46 |   88.64
    7 |     0.3821 |   0.3602 |     87.04 |   88.06
    8 |     0.3417 |   1.5043 |     88.63 |   70.74
    9 |     0.3185 |   0.2731 |     88.72 |   90.93
   10 |     0.2856 |   1.2383 |     90.19 |   76.36
   11 |     0.2634 |   1.7420 |     91.10 |   77.28
   12 |     0.2308 |   0.2590 |     92.00 |   90.76
   13 |     0.2114 |   0.2161 |     92.78 |   92.21
   14 |     0.2019 |   0.2663 |     93.06 |   90.69
   15 |     0.2016 |   0.1912 |     93.25 |   93.44
   16 |     0.1795 |   0.1976 |     94.20 |   92.99
   17 |     0.1747 |   0.2080 |     93.83 |   92.84
   18 |     0.1663 |   0.1930 |     94.07 |   93.21
   19 |     0.1536 |   0.3488 |     94.79 |   88.94
   20 |     0.1003 |   0.1210 |     96.45 |   95.80
   21 |     0.0905 |   0.1112 |     96.81 |   95.97
   22 |     0.0917 |   0.1255 |     96.88 |   95.77
   23 |     0.0864 |   0.5196 |     96.83 |   87.55
   24 |     0.0820 |   0.0992 |     97.11 |   96.62
   25 |     0.0835 |   0.2363 |     97.07 |   92.53
   26 |     0.0835 |   0.1114 |     97.02 |   96.40
   27 |     0.0741 |   0.1306 |     97.29 |   95.57
   28 |     0.0728 |   0.1260 |     97.51 |   95.77
   29 |     0.0491 |   0.0934 |     98.44 |   96.91
   30 |     0.0449 |   0.0943 |     98.48 |   96.76
   31 |     0.0474 |   0.0833 |     98.35 |   97.04
   32 |     0.0432 |   0.1072 |     98.54 |   96.87
   33 |     0.0404 |   0.0933 |     98.60 |   97.08
   34 |     0.0400 |   0.1033 |     98.54 |   96.71
   35 |     0.0412 |   0.1104 |     98.54 |   96.68
   36 |     0.0358 |   0.0905 |     98.73 |   97.30
   37 |     0.0354 |   0.0962 |     98.78 |   96.96
   38 |     0.0329 |   0.0851 |     98.88 |   97.47
   39 |     0.0334 |   0.0855 |     98.76 |   97.15
   40 |     0.0329 |   0.0913 |     98.85 |   97.19
   41 |     0.0328 |   0.0968 |     98.88 |   97.07
   42 |     0.0323 |   0.1268 |     98.94 |   96.39
   43 |     0.0230 |   0.0897 |     99.23 |   97.07
   44 |     0.0190 |   0.0925 |     99.38 |   97.45
   45 |     0.0193 |   0.0821 |     99.35 |   97.56
   46 |     0.0171 |   0.0964 |     99.46 |   97.19
   47 |     0.0191 |   0.0861 |     99.37 |   97.39
   48 |     0.0154 |   0.0857 |     99.43 |   97.55
   49 |     0.0159 |   0.0929 |     99.46 |   97.39
   50 |     0.0138 |   0.0898 |     99.55 |   97.52
